REGION	UNIT	DATE	INCIDENT NUMBER	ACRES	FIRE NAME	CAUSE	LAT	LONG
Three	San Luis Obispo	1/2/2009	35	1	S HALCYON RD / MESA VIEW	Playing With Fire	35.0811	-120.5869
Three	San Luis Obispo	1/8/2009	162	0.1	VIA CONCHA RD / WILLOW RD	Undetermined	35.0439	-120.55
Three	San Luis Obispo	1/9/2009	186	0.1	CARPENTER CANYON RD  SLO_	Undetermined	35.1781	-120.5631
Three	San Luis Obispo	1/11/2009	233	3	OCEANO	Undetermined	35.105	-120.6311
Three	San Luis Obispo	1/22/2009	543	0.1	LOS BERROS RD  SLO_CO	Undetermined	35.0831	-120.5531
Three	San Luis Obispo	2/2/2009	790	0.1	POMEROY RD  NIP	Undetermined	35.0461	-120.5239
Three	San Luis Obispo	2/2/2009	799	0.1	HUASANA	Undetermined	35.1381	-120.5139
Three	San Luis Obispo	2/3/2009	822	1	WINTER	Undetermined	35.0539	-120.5861
Three	San Luis Obispo	2/4/2009	870	0.1	LOS OSOS VALLEY RD /W FOO	Undetermined	35.2769	-120.7119
Three	San Luis Obispo	2/4/2009	859	0.1	TOLOSA WINERY SLO_CO	Undetermined	35.2311	-120.63
Three	San Luis Obispo	2/5/2009	886	0.1	DIVISION ST / ORCHARD RD	Undetermined	35.01	-120.5019
Three	San Luis Obispo	2/20/2009	1242	1	OCEANO DUNES STATE PARK 5	Undetermined	35.105	-120.6311
Three	San Luis Obispo	2/20/2009	24	0.1		Undetermined	35.1069	-120.6261
Three	San Luis Obispo	3/7/2009	33	0.1		Undetermined	35.0839	-120.5669
Three	San Luis Obispo	3/12/2009	1754	0.1	SUMMERWOOD WINERY SLO_CO	Undetermined	35.585	-120.715
Three	San Luis Obispo	3/14/2009	1807	0.1	CORBETT CANYON RD / VERDE	Undetermined	35.175	-120.5581
Three	San Luis Obispo	3/26/2009	2076	0.1	NOYES RD / PRINTZ RD	Undetermined	35.1519	-120.5831
Three	San Luis Obispo	3/28/2009	2130	1	PHOENIX CANYON RD  SLO_CO	Undetermined	35.185	-120.4381
Three	San Luis Obispo	4/6/2009	2367	2	HWY 166  / COTTONWOOD CAN	Campfire	35.06	-119.8581
Three	San Luis Obispo	4/14/2009	2594	1	MOORE	Arson	35.1539	-120.5939
Three	San Luis Obispo	4/14/2009	2615	0.1	WILLOW	Undetermined	35.0469	-120.5681
Three	San Luis Obispo	4/19/2009	2767	0.1	PRIMROSE LN  NIP	Undetermined	35.0331	-120.495
Three	San Luis Obispo	4/19/2009	2750	1	CORBETT CANYON RD  SLO_CO	Arson	35.1839	-120.5719
Three	San Luis Obispo	4/20/2009	2778	0.1	SHORELINE DR  PB	Smoking	35.1589	-120.68
Three	San Luis Obispo	4/20/2009	2787	2	CAMP 8 RD / HWY 41E	Campfire	35.545	-120.4981
Three	San Luis Obispo	4/21/2009	2841	1	SAN PASO TRUCK STOP SLO_C	Undetermined	35.6961	-120.6969
Three	San Luis Obispo	4/21/2009	90	0.1		Undetermined	35.7089	-120.695
Three	San Luis Obispo	4/26/2009	2989	1	SPRING	Undetermined	35.6561	-120.6969
Three	San Luis Obispo	4/26/2009	94	0.1		Undetermined	35.7089	-120.695
Three	San Luis Obispo	4/27/2009	3022	1	INDIAN VALLEY RD / VINEYA	Undetermined	35.7731	-120.6931
Three	San Luis Obispo	4/28/2009	3050	23	CLARK RD / TRUESDALE RD	Campfire	35.63	-120.3819
Three	San Luis Obispo	4/28/2009	3054	1	MESA DUNES MHP SLO_CO	Undetermined	35.0761	-120.5889
Three	San Luis Obispo	4/29/2009	3083	0.1	FORKED HORN PL  SLO_CO	Undetermined	35.6361	-120.55
Three	San Luis Obispo	4/29/2009	3063	0.1	HUASNA	Undetermined	35.1339	-120.5061
Three	San Luis Obispo	4/30/2009	97	0.1		Undetermined	35.685	-120.72
Three	San Luis Obispo	4/30/2009	3103	1	EXLINE RD  SLO_CO	Arson	35.6811	-120.705
Three	San Luis Obispo	5/2/2009	3182	1	HEMI RD  SLO_CO	Undetermined	35.0839	-120.5269
Three	San Luis Obispo	5/3/2009	3215	0.5	PARKHILL	Undetermined	35.3989	-120.4981
Three	San Luis Obispo	5/5/2009	3264	1	BERROS IC	Undetermined	35.075	-120.52
Three	San Luis Obispo	5/6/2009	3289	0.1	POMEROY RD  NIP	Undetermined	35.0389	-120.5089
Three	San Luis Obispo	5/6/2009	3294	0.3	ROSSI	Campfire	35.5369	-120.7131
Three	San Luis Obispo	5/7/2009	3324	1	BRANCH MILL RD / EXCEL WY	Undetermined	35.1519	-120.5281
Three	San Luis Obispo	5/7/2009	3332	1	N HWY 101  /N HWY 166 OFF	Playing With Fire	34.9931	-120.4339
